Date and Time (UTC), Unix Timestamp (UTC), ID, Data, Protocol, SNR, Receiver
2023-06-15T13:10:02.370Z,1686834602.370,36,7,S256-69kHz,48,000022
2023-06-15T13:10:02.370Z,1686834602.370,36,7,S256-71kHz,16,000022
2023-06-15T13:10:02.368Z,1686834602.368,36,7,S256-69kHz,28,000047
2023-06-15T13:09:52.386Z,1686834592.386,36,7,S256-69kHz,28,000632
2023-06-15T13:09:52.371Z,1686834592.371,36,7,S256-69kHz,46,000022
2023-06-15T13:09:52.371Z,1686834592.371,36,7,S256-67kHz,10,000022
2023-06-15T13:09:52.369Z,1686834592.369,36,7,S256-69kHz,26,000047
2023-06-15T13:09:42.386Z,1686834582.386,36,7,S256-69kHz,31,000632
2023-06-15T13:09:42.370Z,1686834582.370,36,7,S256-69kHz,45,000022
2023-06-15T13:09:42.368Z,1686834582.368,36,7,S256-69kHz,27,000047
2023-06-15T13:09:32.385Z,1686834572.385,36,7,S256-69kHz,27,000632
2023-06-15T13:09:32.371Z,1686834572.371,36,7,S256-69kHz,45,000022
2023-06-15T13:09:32.368Z,1686834572.368,36,7,S256-69kHz,26,000047
2023-06-15T13:09:22.385Z,1686834562.385,36,7,S256-69kHz,29,000632
2023-06-15T13:09:22.370Z,1686834562.370,36,7,S256-69kHz,45,000022
2023-06-15T13:09:22.369Z,1686834562.369,36,7,S256-69kHz,29,000047
2023-06-15T13:09:12.385Z,1686834552.385,36,7,S256-69kHz,28,000632
2023-06-15T13:09:12.372Z,1686834552.372,36,7,S256-71kHz,15,000022
2023-06-15T13:09:12.371Z,1686834552.371,36,7,S256-69kHz,42,000022
2023-06-15T13:09:12.371Z,1686834552.371,36,7,S256-67kHz,8,000022
2023-06-15T13:09:12.368Z,1686834552.368,36,7,S256-69kHz,28,000047
2023-06-15T13:09:02.386Z,1686834542.386,36,7,S256-69kHz,27,000632
2023-06-15T13:09:02.370Z,1686834542.370,36,7,S256-69kHz,47,000022
2023-06-15T13:09:02.369Z,1686834542.369,36,7,S256-69kHz,27,000047
2023-06-15T13:08:52.385Z,1686834532.385,36,7,S256-69kHz,26,000632
2023-06-15T13:08:52.370Z,1686834532.370,36,7,S256-69kHz,42,000022
2023-06-15T13:08:52.369Z,1686834532.369,36,7,S256-69kHz,29,000047
2023-06-15T13:08:42.385Z,1686834522.385,36,7,S256-69kHz,29,000632
2023-06-15T13:08:42.371Z,1686834522.371,36,7,S256-69kHz,46,000022
2023-06-15T13:08:42.369Z,1686834522.369,36,7,S256-69kHz,29,000047
2023-06-15T13:08:32.385Z,1686834512.385,36,7,S256-69kHz,31,000632
2023-06-15T13:08:32.370Z,1686834512.370,36,7,S256-69kHz,47,000022
2023-06-15T13:08:32.370Z,1686834512.370,36,7,S256-71kHz,15,000022
2023-06-15T13:08:32.369Z,1686834512.369,36,7,S256-69kHz,31,000047
2023-06-15T13:08:22.385Z,1686834502.385,36,7,S256-69kHz,25,000632
2023-06-15T13:08:22.371Z,1686834502.371,36,7,S256-69kHz,42,000022
2023-06-15T13:08:22.369Z,1686834502.369,36,7,S256-69kHz,29,000047
2023-06-15T13:08:12.385Z,1686834492.385,36,7,S256-69kHz,32,000632
2023-06-15T13:08:12.369Z,1686834492.369,36,7,S256-69kHz,45,000022
2023-06-15T13:08:12.369Z,1686834492.369,36,7,S256-69kHz,30,000047
2023-06-15T13:08:02.384Z,1686834482.384,36,7,S256-69kHz,37,000632
2023-06-15T13:08:02.371Z,1686834482.371,36,7,S256-69kHz,41,000022
2023-06-15T13:08:02.369Z,1686834482.369,36,7,S256-69kHz,29,000047
2023-06-15T13:07:52.384Z,1686834472.384,36,7,S256-69kHz,31,000632
2023-06-15T13:07:52.370Z,1686834472.370,36,7,S256-69kHz,40,000022
2023-06-15T13:07:52.370Z,1686834472.370,36,7,S256-69kHz,28,000047
2023-06-15T13:07:42.384Z,1686834462.384,36,7,S256-69kHz,29,000632
2023-06-15T13:07:42.371Z,1686834462.371,36,7,S256-69kHz,29,000047
2023-06-15T13:07:42.370Z,1686834462.370,36,7,S256-69kHz,37,000022
2023-06-15T13:07:32.383Z,1686834452.383,36,7,S256-69kHz,29,000632
2023-06-15T13:07:32.374Z,1686834452.374,36,7,S256-71kHz,9,000022
2023-06-15T13:07:32.370Z,1686834452.370,36,7,S256-69kHz,40,000022
2023-06-15T13:07:32.370Z,1686834452.370,36,7,S256-69kHz,32,000047
2023-06-15T13:07:22.383Z,1686834442.383,36,7,S256-69kHz,32,000632
2023-06-15T13:07:22.372Z,1686834442.372,36,7,S256-69kHz,33,000047
2023-06-15T13:07:22.370Z,1686834442.370,36,7,S256-69kHz,38,000022
2023-06-15T13:07:12.383Z,1686834432.383,36,7,S256-69kHz,28,000632
2023-06-15T13:07:12.371Z,1686834432.371,36,7,S256-69kHz,28,000047
2023-06-15T13:07:12.370Z,1686834432.370,36,7,S256-69kHz,36,000022
2023-06-15T13:07:02.383Z,1686834422.383,36,7,S256-69kHz,30,000632
2023-06-15T13:07:02.371Z,1686834422.371,36,7,S256-69kHz,29,000047
2023-06-15T13:07:02.370Z,1686834422.370,36,7,S256-69kHz,41,000022
2023-06-15T13:06:52.382Z,1686834412.382,36,7,S256-69kHz,36,000632
2023-06-15T13:06:52.372Z,1686834412.372,36,7,S256-69kHz,32,000047
2023-06-15T13:06:52.370Z,1686834412.370,36,7,S256-69kHz,40,000022
2023-06-15T13:06:42.382Z,1686834402.382,36,7,S256-69kHz,32,000632
2023-06-15T13:06:42.371Z,1686834402.371,36,7,S256-69kHz,30,000047
2023-06-15T13:06:42.370Z,1686834402.370,36,7,S256-69kHz,45,000022
2023-06-15T13:06:32.382Z,1686834392.382,36,7,S256-69kHz,33,000632
2023-06-15T13:06:32.372Z,1686834392.372,36,7,S256-69kHz,30,000047
2023-06-15T13:06:32.371Z,1686834392.371,36,7,S256-71kHz,13,000022
2023-06-15T13:06:32.370Z,1686834392.370,36,7,S256-69kHz,42,000022
2023-06-15T13:06:22.382Z,1686834382.382,36,7,S256-69kHz,27,000632
2023-06-15T13:06:22.373Z,1686834382.373,36,7,S256-69kHz,27,000047
2023-06-15T13:06:22.370Z,1686834382.370,36,7,S256-69kHz,45,000022
2023-06-15T13:06:12.382Z,1686834372.382,36,7,S256-69kHz,25,000632
2023-06-15T13:06:12.373Z,1686834372.373,36,7,S256-69kHz,28,000047
2023-06-15T13:06:12.370Z,1686834372.370,36,7,S256-69kHz,31,000022
2023-06-15T13:06:02.381Z,1686834362.381,36,7,S256-69kHz,30,000632
2023-06-15T13:06:02.374Z,1686834362.374,36,7,S256-69kHz,31,000047
2023-06-15T13:06:02.370Z,1686834362.370,36,7,S256-69kHz,38,000022
2023-06-15T13:05:52.384Z,1686834352.384,36,7,S256-69kHz,25,000632
2023-06-15T13:05:52.373Z,1686834352.373,36,7,S256-69kHz,28,000047
2023-06-15T13:05:52.370Z,1686834352.370,36,7,S256-69kHz,41,000022
2023-06-15T13:05:42.382Z,1686834342.382,36,7,S256-69kHz,30,000632
2023-06-15T13:05:42.373Z,1686834342.373,36,7,S256-69kHz,30,000047
2023-06-15T13:05:42.370Z,1686834342.370,36,7,S256-69kHz,44,000022
2023-06-15T13:05:32.381Z,1686834332.381,36,7,S256-69kHz,40,000632
2023-06-15T13:05:32.373Z,1686834332.373,36,7,S256-69kHz,32,000047
2023-06-15T13:05:32.370Z,1686834332.370,36,7,S256-69kHz,43,000022
2023-06-15T13:05:22.381Z,1686834322.381,36,7,S256-69kHz,32,000632
2023-06-15T13:05:22.373Z,1686834322.373,36,7,S256-69kHz,25,000047
2023-06-15T13:05:22.370Z,1686834322.370,36,7,S256-69kHz,42,000022
2023-06-15T13:05:12.381Z,1686834312.381,36,7,S256-69kHz,40,000632
2023-06-15T13:05:12.374Z,1686834312.374,36,7,S256-69kHz,22,000047
2023-06-15T13:05:12.370Z,1686834312.370,36,7,S256-69kHz,40,000022
2023-06-15T13:05:02.380Z,1686834302.380,36,7,S256-69kHz,31,000632
2023-06-15T13:05:02.374Z,1686834302.374,36,7,S256-69kHz,29,000047
2023-06-15T13:05:02.371Z,1686834302.371,36,7,S256-69kHz,42,000022
2023-06-15T13:05:02.371Z,1686834302.371,36,7,S256-71kHz,14,000022
2023-06-15T13:04:52.380Z,1686834292.380,36,7,S256-69kHz,32,000632
2023-06-15T13:04:52.374Z,1686834292.374,36,7,S256-69kHz,31,000047
2023-06-15T13:04:52.371Z,1686834292.371,36,7,S256-69kHz,40,000022
2023-06-15T13:04:52.371Z,1686834292.371,36,7,S256-71kHz,14,000022
2023-06-15T13:04:52.371Z,1686834292.371,36,7,S256-67kHz,7,000022
2023-06-15T13:04:42.380Z,1686834282.380,36,7,S256-69kHz,37,000632
2023-06-15T13:04:42.375Z,1686834282.375,36,7,S256-69kHz,28,000047
2023-06-15T13:04:42.371Z,1686834282.371,36,7,S256-69kHz,42,000022
2023-06-15T13:04:32.381Z,1686834272.381,36,6,S256-69kHz,33,000632
2023-06-15T13:04:32.373Z,1686834272.373,36,6,S256-69kHz,28,000047
2023-06-15T13:04:32.371Z,1686834272.371,36,6,S256-69kHz,41,000022
2023-06-15T13:04:22.380Z,1686834262.380,36,6,S256-69kHz,27,000632
2023-06-15T13:04:22.374Z,1686834262.374,36,6,S256-69kHz,32,000047
2023-06-15T13:04:22.371Z,1686834262.371,36,6,S256-69kHz,42,000022
2023-06-15T13:04:12.379Z,1686834252.379,36,6,S256-69kHz,37,000632
2023-06-15T13:04:12.375Z,1686834252.375,36,6,S256-69kHz,25,000047
2023-06-15T13:04:12.370Z,1686834252.370,36,6,S256-69kHz,48,000022
2023-06-15T13:04:12.370Z,1686834252.370,36,6,S256-67kHz,10,000022
2023-06-15T13:04:02.380Z,1686834242.380,36,6,S256-69kHz,33,000632
2023-06-15T13:04:02.374Z,1686834242.374,36,6,S256-69kHz,31,000047
2023-06-15T13:04:02.371Z,1686834242.371,36,6,S256-69kHz,41,000022
2023-06-15T13:03:52.380Z,1686834232.380,36,6,S256-69kHz,34,000632
2023-06-15T13:03:52.374Z,1686834232.374,36,6,S256-69kHz,34,000047
2023-06-15T13:03:52.370Z,1686834232.370,36,6,S256-69kHz,41,000022
2023-06-15T13:03:42.379Z,1686834222.379,36,5,S256-69kHz,37,000632
2023-06-15T13:03:42.375Z,1686834222.375,36,5,S256-69kHz,27,000047
2023-06-15T13:03:42.371Z,1686834222.371,36,5,S256-69kHz,41,000022
2023-06-15T13:03:32.380Z,1686834212.380,36,5,S256-69kHz,39,000632
2023-06-15T13:03:32.375Z,1686834212.375,36,5,S256-69kHz,25,000047
2023-06-15T13:03:32.370Z,1686834212.370,36,5,S256-69kHz,43,000022
2023-06-15T13:03:22.380Z,1686834202.380,36,4,S256-69kHz,28,000632
2023-06-15T13:03:22.375Z,1686834202.375,36,4,S256-69kHz,36,000047
2023-06-15T13:03:22.371Z,1686834202.371,36,4,S256-69kHz,43,000022
2023-06-15T13:03:22.371Z,1686834202.371,36,4,S256-71kHz,14,000022
2023-06-15T13:03:22.371Z,1686834202.371,36,4,S256-67kHz,10,000022
2023-06-15T13:03:12.380Z,1686834192.380,36,5,S256-69kHz,30,000632
2023-06-15T13:03:12.375Z,1686834192.375,36,5,S256-69kHz,29,000047
2023-06-15T13:03:12.371Z,1686834192.371,36,5,S256-69kHz,44,000022
2023-06-15T13:03:12.371Z,1686834192.371,36,5,S256-67kHz,13,000022
2023-06-15T13:00:12.360Z,1686834012.360,36,4,S256-69kHz,32,000022
2023-06-15T13:00:02.391Z,1686834002.391,36,4,S256-69kHz,18,000632
